1,4096,2048,1024,512,256,0
2,2048,1024,512,256,128,0
3,1024,512,256,128,64,0
4,512,256,128,64,32,0
5,256,128,64,32,16,0
6,128,64,32,16,8,0
7,64,32,16,8,4,0
8,32,16,8,4,2,0
9,16,8,4,2,1,0
10,8,4,2,1,4096,0
11,4096,4096,4096,4096,2048,1
12,4096,4096,4096,4096,1024,1
13,4096,4096,4096,4096,512,1
14,4096,4096,4096,4096,256,1
15,4096,4096,4096,4096,128,1
16,4096,4096,4096,4096,64,1
17,4096,4096,4096,4096,32,1
18,4096,4096,4096,4096,16,1
19,4096,4096,4096,4096,8,1
20,4096,4096,4096,4096,4,1
21,4096,4096,4096,4096,2,1
22,4096,4096,4096,4096,1,1
23,2048,2048,2048,2048,4096,1
24,2048,2048,2048,2048,1024,1
25,2048,2048,2048,2048,512,1
26,2048,2048,2048,2048,256,1
27,2048,2048,2048,2048,128,1
28,2048,2048,2048,2048,64,1
29,2048,2048,2048,2048,32,1
30,2048,2048,2048,2048,16,1
31,2048,2048,2048,2048,8,1
32,2048,2048,2048,2048,4,1
33,2048,2048,2048,2048,2,1
34,2048,2048,2048,2048,1,1
35,1024,1024,1024,1024,4096,1
36,1024,1024,1024,1024,2048,1
37,1024,1024,1024,1024,512,1
38,1024,1024,1024,1024,256,1
39,1024,1024,1024,1024,128,1
40,1024,1024,1024,1024,64,1
41,1024,1024,1024,1024,32,1
42,1024,1024,1024,1024,16,1
43,1024,1024,1024,1024,8,1
44,1024,1024,1024,1024,4,1
45,1024,1024,1024,1024,2,1
46,1024,1024,1024,1024,1,1
47,512,512,512,512,4096,1
48,512,512,512,512,2048,1
49,512,512,512,512,1024,1
50,512,512,512,512,256,1
51,512,512,512,512,128,1
52,512,512,512,512,64,1
53,512,512,512,512,32,1
54,512,512,512,512,16,1
55,512,512,512,512,8,1
56,512,512,512,512,4,1
57,512,512,512,512,2,1
58,512,512,512,512,1,1
59,256,256,256,256,4096,1
60,256,256,256,256,2048,1
61,256,256,256,256,1024,1
62,256,256,256,256,512,1
63,256,256,256,256,128,1
64,256,256,256,256,64,1
65,256,256,256,256,32,1
66,256,256,256,256,16,1
67,256,256,256,256,8,1
68,256,256,256,256,4,1
69,256,256,256,256,2,1
70,256,256,256,256,1,1
71,128,128,128,128,4096,1
72,128,128,128,128,2048,1
73,128,128,128,128,1024,1
74,128,128,128,128,512,1
75,128,128,128,128,256,1
76,128,128,128,128,64,1
77,128,128,128,128,32,1
78,128,128,128,128,16,1
79,128,128,128,128,8,1
80,128,128,128,128,4,1
81,128,128,128,128,2,1
82,128,128,128,128,1,1
83,64,64,64,64,4096,1
84,64,64,64,64,2048,1
85,64,64,64,64,1024,1
86,64,64,64,64,512,1
87,64,64,64,64,256,1
88,64,64,64,64,128,1
89,64,64,64,64,32,1
90,64,64,64,64,16,1
91,64,64,64,64,8,1
92,64,64,64,64,4,1
93,64,64,64,64,2,1
94,64,64,64,64,1,1
95,32,32,32,32,4096,1
96,32,32,32,32,2048,1
97,32,32,32,32,1024,1
98,32,32,32,32,512,1
99,32,32,32,32,256,1
100,32,32,32,32,128,1
101,32,32,32,32,64,1
102,32,32,32,32,16,1
103,32,32,32,32,8,1
104,32,32,32,32,4,1
105,32,32,32,32,2,1
106,32,32,32,32,1,1
107,16,16,16,16,4096,1
108,16,16,16,16,2048,1
109,16,16,16,16,1024,1
110,16,16,16,16,512,1
111,16,16,16,16,256,1
112,16,16,16,16,128,1
113,16,16,16,16,64,1
114,16,16,16,16,32,1
115,16,16,16,16,8,1
116,16,16,16,16,4,1
117,16,16,16,16,2,1
118,16,16,16,16,1,1
119,8,8,8,8,4096,1
120,8,8,8,8,2048,1
121,8,8,8,8,1024,1
122,8,8,8,8,512,1
123,8,8,8,8,256,1
124,8,8,8,8,128,1
125,8,8,8,8,64,1
126,8,8,8,8,32,1
127,8,8,8,8,16,1
128,8,8,8,8,4,1
129,8,8,8,8,2,1
130,8,8,8,8,1,1
131,4,4,4,4,4096,1
132,4,4,4,4,2048,1
133,4,4,4,4,1024,1
134,4,4,4,4,512,1
135,4,4,4,4,256,1
136,4,4,4,4,128,1
137,4,4,4,4,64,1
138,4,4,4,4,32,1
139,4,4,4,4,16,1
140,4,4,4,4,8,1
141,4,4,4,4,2,1
142,4,4,4,4,1,1
143,2,2,2,2,4096,1
144,2,2,2,2,2048,1
145,2,2,2,2,1024,1
146,2,2,2,2,512,1
147,2,2,2,2,256,1
148,2,2,2,2,128,1
149,2,2,2,2,64,1
150,2,2,2,2,32,1
151,2,2,2,2,16,1
152,2,2,2,2,8,1
153,2,2,2,2,4,1
154,2,2,2,2,1,1
155,1,1,1,1,4096,1
156,1,1,1,1,2048,1
157,1,1,1,1,1024,1
158,1,1,1,1,512,1
159,1,1,1,1,256,1
160,1,1,1,1,128,1
